"0","000s:000ms:000us 374 ms"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:001B5388 CRC:07","SC:80","MMC:211.2MHz","Nrc:3",
"1","000s:000ms:000us 000 us","  R1 ","RSP:190000090031 [47:0]","-","MMC:-","Ncr:9",
"2","000s:000ms:733us 733 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"3","000s:000ms:733us 000 us","  R1b","RSP:0C00000C001D [47:0]","-","MMC:-","Ncr:8",
"4","000s:001ms:575us 842 us"," CMD13(SEND_STATUS)","ARG:00010000 CRC:29","-","MMC:198.0MHz","Nrc:1301",
"5","000s:001ms:575us 000 us","  R1 ","RSP:0D000009003F [47:0]","-","MMC:-","Ncr:6",
"6","000s:001ms:893us 317 us"," CMD06(SWITCH)","ARG:03200101 CRC:43","Triggers the Flush","MMC:198.0MHz","Nrc:25",
"7","000s:001ms:893us 000 us","  R1b","RSP:0600000800CB [47:0]","-","MMC:-","Ncr:9",
"8","000s:002ms:954us 001 ms"," CMD13(SEND_STATUS)","ARG:00010000 CRC:29","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"9","000s:002ms:954us 000 us","  R1 ","RSP:0D000009003F [47:0]","-","MMC:-","Ncr:6",
"10","000s:003ms:103us 148 us"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:001B53D8 CRC:7A","SC:8","MMC:198.0MHz","Nrc:25",
"11","000s:003ms:103us 000 us","  R1 ","RSP:190000090031 [47:0]","-","MMC:-","Ncr:9",
"12","000s:003ms:281us 178 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:35360",
"13","000s:003ms:282us 000 us","  R1b","RSP:0C00000C001D [47:0]","-","MMC:-","Ncr:8",
"14","000s:004ms:048us 766 us"," CMD13(SEND_STATUS)","ARG:00010000 CRC:29","-","MMC:211.2MHz","Nrc:1291",
"15","000s:004ms:048us 000 us","  R1 ","RSP:0D000009003F [47:0]","-","MMC:-","Ncr:6",
"16","000s:009ms:089us 005 ms"," CMD35(ERASE_GROUP_START)","ARG:00403050 CRC:65","-","MMC:211.2MHz","Nrc:25",
"17","000s:009ms:089us 000 us","  R1 ","RSP:230000090059 [47:0]","-","MMC:-","Ncr:8",
"18","000s:009ms:163us 074 us"," CMD36(ERASE_GROUP_END)","ARG:00403057 CRC:51","-","MMC:198.0MHz","Nrc:25",
"19","000s:009ms:163us 000 us","  R1 ","RSP:24000009004F [47:0]","-","MMC:-","Ncr:8",
"20","000s:009ms:237us 074 us"," CMD38(ERASE)","ARG:00000003 CRC:49","-","MMC:198.0MHz","Nrc:25",
"21","000s:009ms:238us 000 us","  R1b","RSP:260000080081 [47:0]","-","MMC:-","Ncr:8",
